iter	Passed	Remaining
0	812	811952
1	1537	767236
2	2455	816168
3	3379	841488
4	4104	816814
5	5001	828580
6	5933	841756
7	6605	819107
8	7436	818858
9	8279	819674
10	9290	835309
11	10192	839164
12	10816	821248
13	11583	815825
14	12173	799407
15	12989	798852
16	13862	801597
17	14677	16	535218	15213	717	58111	3170282
18	64802	3345850
19	72521	3553545
20	81489	3798985
21	89596	3982959
22	97959	4161146
23	105900	4306610
24	113649	4432320
25	122000	4570339
26	130277	4694809
27	138195	4797354
28	145865	4883992
29	154366	4991167
30	162916	5092454
31	171396	5184758
32	179097	5248089
33	187212	5319032
34	195726	5396447
35	204019	5463200
36	212342	5526643
37	220651	5585972
38	228539	5631446
39	236451	5674844
40	244872	5727625
41	252920	5768988
42	260893	5806388
43	268789	5840072
44	276634	5870793
45	284909	5908771
46	293228	5945674
47	301158	5972979
48	309388	6004662
49	317175	6026329
50	325274	6052657
51	332939	6069742
52	341000	6092978
53	348875	6111782
54	356579	6126691
55	362660	6113413
56	367274	6076140
57	374153	6076764
58	381883	6090719
59	390474	6117432
60	398308	6131334
61	405871	6140438
62	413744	6153632
63	421403	6163029
64	429723	6181409
65	437956	6197744
66	445225	6199935
67	453808	6219844
68	461054	6220900
69	468932	6230102
70	476560	6235559
71	481692	6208482
72	485904	6170324
73	489994	6131552
74	493989	6092532
75	498171	6056711
76	502409	6022385
77	506577	5988011
78	510675	5953576
79	514799	5920196
80	519035	5888810
81	523173	5856989
82	527242	5825075
83	531368	5794450
84	535452	5763988
85	539624	5735076
86	543697	5705695
87	547934	5678588
88	552137	5651657
89	556338	5625195
90	560565	5599499
91	564954	5575858
92	569285	5552062
93	573473	5527309
94	577827	5504570
95	582300	5483325
96	586572	5460562
97	590838	5438128
98	595190	5416833
99	599547	5395927
100	604040	5376562
101	608436	5356626
102	612811	5336815
103	617223	5317620
104	621574	5298184
105	625824	5278177
106	630266	5260077
107	634629	5241566
108	638904	5222605
109	643281	5204735
110	647582	5186497
111	651950	5169037
112	656184	5150761
113	660400	5132585
114	664738	5115599
115	669143	5099335
116	673368	5081918
117	677758	5065958
118	682181	5050438
119	686559	5034769
120	690880	5018877
121	695038	5001997
122	699406	4986827
123	703717	4971422
124	708051	4956363
125	712183	4940063
126	716556	4925623
127	720794	4910412
128	725153	4896189
129	729494	4882001
130	733972	4868869
131	738170	4854028
132	742608	4840911
133	746884	4826879
134	751063	4812371
135	755477	4799503
136	759825	4786348
137	764251	4773803
138	768567	4760692
139	772812	4747278
140	777205	4734888
141	781555	4722355
142	785821	4709432
143	790072	4696540
144	794517	4684912
145	799038	4673829
146	803396	4661883
147	807700	4649735
148	811854	4636833
149	816035	4624199
150	820405	4612744
151	824848	4601786
152	829986	4594760
153	840113	4615167
154	846865	4616781
155	851741	4608137
156	856333	4598019
157	861008	4588411
158	865754	4579244
159	870245	4568790
160	875031	4559947
161	879543	4549735
162	884140	4540034
163	888535	4529366
164	893045	4519349
165	897465	4508955
166	902135	4499873
167	906635	4490001
168	911106	4480056
169	915630	4470432
170	920644	4463242
171	925307	4454389
172	930236	4446851
173	938371	4454567
174	946080	4460092
175	954470	4468657
176	963111	4478195
177	971287	4485383
178	979564	4492861
179	987535	4498773
180	995272	4503469
181	1003982	4512404
182	1012583	4520661
183	1020634	4526291
184	1029346	4534690
185	1037338	4539749
186	1044900	4542800
187	1053372	4549672
188	1062043	4557232
189	1070284	4562793
190	1078763	4569213
191	1087304	4575738
192	1092593	4568511
193	1096962	4557484
194	1104748	4560627
195	1112825	4564856
196	1120660	4567970
197	1128470	4570874
198	1136968	4576440
199	1145107	4580428
200	1153577	4585612
201	1161509	4588538
202	1169704	4592385
203	1178038	4596661
204	1185932	4599103
205	1193583	4600511
206	1201729	4603726
207	1209831	4606665
208	1218239	4610656
209	1225668	4610848
210	1233665	4613091
211	1241731	4615492
212	1249597	4617056
213	1257165	4617439
214	1265499	4620546
215	1273603	4622709
216	1281561	4624251
217	1289341	4625070
218	1296854	4624855
219	1305371	4628133
220	1313539	4630079
221	1319061	4622655
222	1323054	4609923
223	1327105	4597473
224	1331239	4585378
225	1335322	4573183
226	1339885	4562695
227	1345267	4555027
228	1352900	4554962
229	1361240	4557197
230	1368941	4557212
231	1376776	4557604
232	1385479	4560785
233	1394091	4563565
234	1401587	4562614
235	1409961	4564450
236	1418653	4567225
237	1426695	4567822
238	1434492	4567568
239	1442130	4566745
240	1449707	4565677
241	1457659	4565726
242	1465964	4566809
243	1473965	4566876
244	1479021	4557800
245	1483153	4545926
246	1487418	4534520
247	1490978	4521032
248	1494032	4506097
249	1497126	4491379
250	1500343	4477120
251	1503827	4463742
252	1507078	4449753
253	1510135	4435278
254	1513301	4421212
255	1516580	4407562
256	1519858	4393988
257	1523074	4380316
258	1526213	4366503
259	1529348	4352761
260	1532666	4339619
261	1535812	4326067
262	1539039	4312821
263	1542108	4299210
264	1545236	4285844
265	1548459	4272815
266	1551547	4259492
267	1554747	4246549
268	1557847	4233407
269	1560955	4220360
270	1564107	4207505
271	1567275	4194766
272	1570445	4182100
273	1573622	4169525
274	1576806	4157034
275	1580072	4144826
276	1583282	4132537
277	1586344	4119929
278	1589503	4107641
279	1592631	4095338
280	1595801	4083207
281	1599005	4071226
282	1602169	4059206
283	1605362	4047321
284	1608635	4035699
285	1611857	4024008
286	1615081	4012380
287	1618184	4000511
288	1621357	3988875
289	1624467	3977144
290	1627608	3965547
291	1630900	3954376
292	1634002	3942798
293	1637193	3931491
294	1640394	3920264
295	1643578	3909051
296	1646781	3897938
297	1649975	3886856
298	1653222	3875949
299	1656490	3865145
300	1659647	3854132
301	1662899	3843389
302	1666139	3832670
303	1669675	3822678
304	1673005	3812259
305	1676798	3802934
306	1684016	3801379
307	1690926	3799095
308	1698045	3797246
309	1705361	3795804
310	1712114	3793076
311	1719032	3790687
312	1726154	3788716
313	1732936	3785969
314	1739923	3783643
315	1747231	3781981
316	1754332	3779839
317	1761423	3777643
318	1768076	3774482
319	1775105	3772098
320	1781915	3769224
321	1788672	3766211
322	1795362	3763036
323	1801964	3759654
324	1809393	3757971
325	1816073	3754703
326	1826006	3758111
327	1833218	3755862
328	1840025	3752756
329	1847145	3750264
330	1854461	3748140
331	1861178	3744780
332	1867997	3741604
333	1874637	3738049
334	1881487	3734893
335	1888554	3732144
336	1895318	3728772
337	1902091	3725397
338	1908966	3722204
339	1916939	3721118
340	1920704	3711860
341	1923851	3701444
342	1926902	3690888
343	1929705	3679903
344	1932578	3669097
345	1935726	3658858
346	1938895	3648699
347	1942043	3638540
348	1945280	3628589
349	1948599	3618827
350	1951819	3608920
351	1954957	3598898
352	1958179	3589071
353	1961413	3579302
354	1964598	3569481
355	1967843	3559807
356	1971096	3550181
357	1974244	3540404
358	1977284	3530471
359	1980572	3521018
360	1983826	3511538
361	1987051	3502040
362	1990187	3492422
363	1993355	3482895
364	1996439	3473257
365	1999540	3463685
366	2002547	3453984
367	2005725	3444615
368	2009031	3435499
369	2012231	3426232
370	2015642	3417356
371	2018883	3408223
372	2022070	3399029
373	2025283	3389912
374	2028477	3380795
375	2031627	3371636
376	2034713	3362404
377	2037887	3353348
378	2041151	3344472
379	2044321	3335471
380	2047801	3327005
381	2051320	3318628
382	2054549	3309809
383	2059477	3303744
384	2066605	3301200
385	2074005	3299065
386	2078885	3292912
387	2082219	3284325
388	2085289	3275352
389	2088539	3266689
390	2091760	3258010
391	2094828	3249122
392	2098026	3240463
393	2101130	3231688
394	2104389	3223178
395	2107627	3214664
396	2110742	3205988
397	2114029	3197602
398	2117203	3189070
399	2120412	3180618
400	2123669	3172263
401	2126791	3163734
402	2129892	3155200
403	2133024	3146739
404	2136139	3138279
405	2139326	3129950
406	2142499	3121627
407	2145695	3113361
408	2148948	3105204
409	2152192	3097057
410	2155371	3088841
411	2158660	3080806
412	2161914	3072745
413	2165068	3064566
414	2168258	3056460
415	2171518	3048478
416	2174573	3040230
417	2177816	3032271
418	2181149	3024457
419	2184224	3016309
420	2187384	3008302
421	2190488	3000242
422	2193739	2992405
423	2196893	2984459
424	2200031	2976513
425	2203268	2968723
426	2206473	2960912
427	2209564	2952969
428	2212958	2945452
429	2216211	2937768
430	2219311	2929902
431	2222551	2922243
432	2225939	2914799
433	2229614	2907745
434	2233170	2900554
435	2236841	2893528
436	2240448	2886435
437	2243988	2879272
438	2247377	2871933
439	2250550	2864336
440	2253800	2856857
441	2256953	2849275
442	2260078	2841678
443	2263235	2834141
444	2266364	2826588
445	2269498	2819063
446	2272575	2811486
447	2275724	2804017
448	2279061	2796798
449	2282342	2789529
450	2285458	2782077
451	2288713	2774811
452	2291792	2767352
453	2295043	2760117
454	2298179	2752764
455	2301291	2745400
456	2304456	2738117
457	2307670	2730911
458	2311015	2723876
459	2314278	2716761
460	2317576	2709704
461	2320819	2702598
462	2323983	2695419
463	2327254	2688379
464	2330502	2681330
465	2333737	2674282
466	2336937	2667211
467	2340056	2660064
468	2343336	2653116
469	2346589	2646154
470	2349827	2639190
471	2353025	2632197
472	2356273	2625276
473	2359475	2618320
474	2362648	2611348
475	2365717	2604277
476	2368853	2597296
477	2372144	2590500
478	2375294	2583566
479	2378720	2576946
480	2381977	2570158
481	2385055	2563192
482	2388165	2556276
483	2391289	2549390
484	2394570	2542688
485	2397680	2535818
486	2400794	2528967
487	2403927	2522153
488	2407130	2515426
489	2410547	2508937
490	2413703	2502189
491	2416765	2495359
492	2420067	2488791
493	2423243	2482108
494	2426567	2475588
495	2429856	2469047
496	2433254	2462629
497	2436492	2456063
498	2439865	2449644
499	2443271	2443271
500	2446652	2436885
501	2449887	2430366
502	2453109	2423847
503	2456382	2417392
504	2459692	2410985
505	2463043	2404630
506	2466245	2398144
507	2469557	2391776
508	2472802	2385355
509	2476387	2379274
510	2479844	2373080
511	2483156	2366758
512	2486488	2360467
513	2489751	2354122
514	2493082	2347854
515	2496401	2341586
516	2499644	2335258
517	2502880	2328935
518	2506079	2322590
519	2509412	2316380
520	2512835	2310264
521	2516140	2304051
522	2519416	2297823
523	2522695	2291608
524	2525935	2285370
525	2529164	2279132
526	2532319	2272840
527	2535557	2266634
528	2538957	2260584
529	2542395	2254576
530	2545724	2248483
531	2549171	2242504
532	2552601	2236519
533	2555951	2230474
534	2559213	2224362
535	2562652	2218415
536	2565877	2212293
537	2569244	2206303
538	2572430	2200168
539	2575839	2194233
540	2579150	2188225
541	2582455	2182222
542	2585673	2176156
543	2588959	2170156
544	2592233	2164158
545	2595545	2158200
546	2598860	2152255
547	2602176	2146320
548	2605486	2140390
549	2609009	2134643
550	2612201	2128636
551	2615568	2122780
552	2618893	2116899
553	2622080	2110916
554	2625439	2105082
555	2628661	2099146
556	2631906	2093240
557	2635242	2087414
558	2638629	2081637
559	2642092	2075930
560	2645320	2070046
561	2648598	2064210
562	2651808	2058331
563	2655017	2052460
564	2658242	2046611
565	2661613	2040883
566	2664831	2035047
567	2668117	2029272
568	2671411	2023512
569	2674774	2017812
570	2678152	2012132
571	2681459	2006407
572	2684628	2000587
573	2687898	1994851
574	2691237	1989175
575	2694503	1983454
576	2697882	1977823
577	2701252	1972195
578	2704605	1966561
579	2708004	1960968
580	2711224	1955254
581	2714472	1949569
582	2717795	1943946
583	2721084	1938306
584	2724294	1932619
585	2727568	1926984
586	2730787	1921320
587	2734017	1915672
588	2737271	1910048
589	2740693	1904550
590	2743891	1898902
591	2747257	1893380
592	2750544	1887810
593	2753722	1882174
594	2756922	1876560
595	2760191	1871002
596	2763431	1865431
597	2766760	1859929
598	2770070	1854420
599	2773566	1849044
600	2776860	1843539
601	2780644	1838366
602	2784439	1833204
603	2788012	1827902
604	2791316	1822429
605	2794751	1817049
606	2798121	1811633
607	2801475	1806214
608	2804956	1800883
609	2808313	1795479
610	2811759	1790138
611	2815112	1784744
612	2818353	1779287
613	2821700	1773902
614	2824882	1768422
615	2828048	1762939
616	2831261	1757492
617	2834659	1752168
618	2837945	1746780
619	2841263	1741419
620	2844478	1736002
621	2847801	1730657
622	2850996	1725241
623	2854227	1719854
624	2857484	1714490
625	2860637	1709071
626	2863825	1703679
627	2867118	1698356
628	2870365	1693013
629	2873814	1687796
630	2877167	1682527
631	2880389	1677188
632	2883632	1671868
633	2886677	1666441
634	2889820	1661077
635	2893073	1655784
636	2896376	1650525
637	2899727	1645299
638	2903027	1640051
639	2906436	1634870
640	2909650	1629585
641	2913040	1624405
642	2916361	1619192
643	2919492	1613881
644	2922749	1608644
645	2926014	1603419
646	2929294	1598208
647	2932545	1592987
648	2935881	1587818
649	2939139	1582613
650	2942456	1577445
651	2945618	1572201
652	2948844	1566997
653	2952191	1561862
654	2955336	1556627
655	2958639	1551481
656	2961843	1546289
657	2965050	1541105
658	2968448	1536025
659	2971805	1530930
660	2975098	1525806
661	2978451	1520719
662	2981794	1515633
663	2985068	1510516
664	2988237	1505352
665	2991536	1500259
666	2994767	1495138
667	2997995	1490021
668	3001103	1484850
669	3004458	1479807
670	3007595	1474663
671	3010915	1469613
672	3014191	1464547
673	3017397	1459453
674	3020793	1454456
675	3024125	1449432
676	3027321	1444349
677	3030538	1439282
678	3033700	1434194
679	3036916	1429137
680	3039981	1424014
681	3043173	1418957
682	3046545	1413989
683	3049675	1408914
684	3052959	1403915
685	3056238	1398919
686	3059391	1393871
687	3062693	1388895
688	3065815	1383844
689	3069281	1378952
690	3072544	1373974
691	3075834	1369013
692	3079207	1364093
693	3082561	1359169
694	3085806	1354202
695	3088975	1349207
696	3092299	1344284
697	3095680	1339391
698	3098739	1334364
699	3102186	1329508
700	3105648	1324663
701	3108991	1319771
702	3112331	1314882
703	3115681	1310002
704	3118950	1305092
705	3122149	1300158
706	3125456	1295274
707	3128796	1290407
708	3132145	1285548
709	3135440	1280672
710	3138565	1275731
711	3141937	1270896
712	3145201	1266020
713	3148637	1261218
714	3152018	1256398
715	3155334	1251557
716	3158669	1246727
717	3161922	1241869
718	3165228	1237036
719	3168640	1232248
720	3171895	1227404
721	3175180	1222576
722	3178513	1217770
723	3181628	1212886
724	3184809	1208031
725	3188171	1203249
726	3191402	1198422
727	3194673	1193614
728	3197878	1188786
729	3201103	1183969
730	3204424	1179193
731	3207732	1174415
732	3211077	1169655
733	3214357	1164876
734	3217677	1160114
735	3221051	1155377
736	3224254	1150582
737	3227502	1145806
738	3230829	1141064
739	3234285	1136370
740	3237660	1131652
741	3241022	1126932
742	3244309	1122190
743	3247481	1117412
744	3250713	1112660
745	3253880	1107889
746	3257144	1103156
747	3260354	1098408
748	3263553	1093660
749	3267018	1089006
750	3270266	1084282
751	3273540	1079571
752	3276738	1074839
753	3279914	1070104
754	3283218	1065415
755	3286385	1060685
756	3289667	1055996
757	3292894	1051293
758	3296234	1046630
759	3299808	1042044
760	3303103	1037374
761	3306384	1032702
762	3309761	1028064
763	3313208	1023451
764	3316483	1018788
765	3319602	1014082
766	3322860	1009421
767	3326013	1004733
768	3329420	1000125
769	3332755	995498
770	3336051	990863
771	3339128	986167
772	3342458	981549
773	3345880	976962
774	3349164	972338
775	3352386	967699
776	3355612	963065
777	3358773	958415
778	3361935	953771
779	3365250	949173
780	3368677	944609
781	3371859	939981
782	3375128	935380
783	3378529	930819
784	3381867	926243
785	3385222	921676
786	3388353	917051
787	3391531	912442
788	3394655	907822
789	3397994	903264
790	3401264	898690
791	3404483	894106
792	3407895	889576
793	3411213	885025
794	3414513	880472
795	3417894	875942
796	3421157	871386
797	3424571	866871
798	3427762	862303
799	3431037	857759
800	3434423	853246
801	3437721	848714
802	3441059	844195
803	3444294	839653
804	3447639	835142
805	3450815	830593
806	3454119	826078
807	3457391	821558
808	3460712	817053
809	3464184	812586
810	3467450	808074
811	3470631	803545
812	3473938	799048
813	3477136	794529
814	3480413	790032
815	3483636	785525
816	3486670	780979
817	3489797	776458
818	3492983	771953
819	3496252	767470
820	3499477	762979
821	3502482	758445
822	3505554	753928
823	3508627	749415
824	3511673	744900
825	3514802	740406
826	3517915	735912
827	3521147	731446
828	3524283	726963
829	3527403	722480
830	3530655	718027
831	3534023	713600
832	3537096	709117
833	3540288	704661
834	3543521	700216
835	3546604	695745
836	3549738	691287
837	3552801	686818
838	3556105	682399
839	3559261	677954
840	3562534	673535
841	3565623	669083
842	3568697	664632
843	3571713	660174
844	3574717	655717
845	3577953	651305
846	3581278	646913
847	3584427	642491
848	3587624	638081
849	3590821	633674
850	3593958	629259
851	3597200	624865
852	3600194	620432
853	3603373	616033
854	3606595	611644
855	3609764	607250
856	3612793	602834
857	3615989	598450
858	3619194	594070
859	3622514	589711
860	3625635	585323
861	3628983	580974
862	3632031	576579
863	3635173	572203
864	3638360	567836
865	3641424	563453
866	3644608	559092
867	3647795	554733
868	3650989	550379
869	3654004	546000
870	3657116	541639
871	3660595	537335
872	3663829	532996
873	3666974	528648
874	3670176	524310
875	3673301	519965
876	3676396	515617
877	3679618	511290
878	3682799	506961
879	3685987	502634
880	3689153	498307
881	3692533	494012
882	3695847	489710
883	3698981	485386
884	3702115	481065
885	3705242	476746
886	3708415	472436
887	3711516	468119
888	3714875	463837
889	3718728	459618
890	3722464	455385
891	3725782	451103
892	3729378	446857
893	3732732	442583
894	3735967	438297
895	3739089	434001
896	3742330	429721
897	3745678	425455
898	3748815	421168
899	3751910	416878
900	3755111	412603
901	3758372	408337
902	3761722	404083
903	3764962	399819
904	3768194	395556
905	3771417	391295
906	3774379	387009
907	3777534	382745
908	3780614	378477
909	3783871	374229
910	3787215	369991
911	3790270	365727
912	3793475	361481
913	3796683	357237
914	3799783	352985
915	3803067	348752
916	3806314	344519
917	3809415	340274
918	3812744	336052
919	3815871	331814
920	3819048	327583
921	3822224	323355
922	3825504	319137
923	3828867	314928
924	3832093	310710
925	3835164	306481
926	3838377	302267
927	3841570	298052
928	3844678	293834
929	3847723	289613
930	3850892	285404
931	3854172	281205
932	3857422	277006
933	3860686	272810
934	3863909	268614
935	3867020	264411
936	3870188	260215
937	3873438	256026
938	3876543	251830
939	3879769	247644
940	3883067	243465
941	3886102	239271
942	3889364	235094
943	3892658	230920
944	3895737	226736
945	3898946	222561
946	3902138	218387
947	3905308	214215
948	3908553	210048
949	3911627	205875
950	3914979	201718
951	3918156	197554
952	3921333	193392
953	3924683	189240
954	3927695	185074
955	3930858	180918
956	3934064	176765
957	3937205	172612
958	3940290	168458
959	3943422	164309
960	3946665	160166
961	3949907	156025
962	3953078	151883
963	3956331	147746
964	3959591	143612
965	3962654	139472
966	3965867	135339
967	3969001	131206
968	3972027	127072
969	3975083	122940
970	3978217	118813
971	3981409	114690
972	3984546	110568
973	3987678	106447
974	3991162	102337
975	3994433	98223
976	3997727	94112
977	4000966	90001
978	4004068	85889
979	4007254	81780
980	4010563	77676
981	4013804	73572
982	4016880	69467
983	4020018	65366
984	4023520	61271
985	4026738	57174
986	4029987	53079
987	4033056	48984
988	4036205	44892
989	4039386	40801
990	4042559	36713
991	4045588	32625
992	4048813	28541
993	4051967	24458
994	4055242	20378
995	4058411	16298
996	4061609	12221
997	4064760	8145
998	4068075	4072
999	4071222	0
